"","nct_number","recruitment","interventions","gender","study_type","city","state_name","phase","cleaned_age","state_code","location","lat","lng"
"683638","NCT00454870","Completed","Drug","All","Interventional","Atlanta","Georgia","Not available","Adult, Senior","GA","Atlanta , GA","33.7489954","-84.3879824"
"683774","NCT01227564","Completed","Biological","All","Interventional","Sun City","Arizona","Not available","Adult, Senior","AZ","Sun City , AZ","33.5975393","-112.2718239"
"683875","NCT00000172","Completed","Drug","All","Interventional","Berkeley","California","Not available","Child, Adult, Senior","CA","Berkeley , CA","37.8715926","-122.272747"
"683883","NCT00093951","Completed","Drug","All","Interventional","Tucson","Arizona","Not available","Adult, Senior","AZ","Tucson , AZ","32.2217429","-110.926479"
"683959","NCT02916056","Enrolling by invitation","Drug","All","Interventional","Glendale","California","Not available","Adult, Senior","CA","Glendale , CA","34.1425078","-118.255075"
"684007","NCT01504854","Completed","Drug","All","Interventional","La Jolla","California","Not available","Adult, Senior","CA","La Jolla , CA","32.8328112","-117.2712717"
"684065","NCT00842673","Completed","Drug","All","Interventional","San Diego","California","Not available","Adult, Senior","CA","San Diego , CA","32.715738","-117.1610838"
"684199","NCT00838110","Completed","Drug","All","Interventional","Little Rock","Arkansas","Not available","Adult, Senior","AR","Little Rock , AR","34.7464809","-92.2895948"
"684237","NCT00842816","Completed","Drug","All","Interventional","Redlands","California","Not available","Adult, Senior","CA","Redlands , CA","34.0555693","-117.1825381"
"684255","NCT00097916","Completed","Drug","All","Interventional","New Haven","Connecticut","Not available","Adult, Senior","CT","New Haven , CT","41.308274","-72.9278835"
"684420","NCT00930059","Completed","Drug","All","Interventional","Glendale","California","Not available","Adult, Senior","CA","Glendale , CA","34.1425078","-118.255075"
"684468","NCT03289143","Recruiting","Drug","All","Interventional","Orlando","Florida","Not available","Adult, Senior","FL","Orlando , FL","28.5383355","-81.3792365"
"684597","NCT02925650","Recruiting","Drug","All","Interventional","Brentwood","Missouri","Phase 2","Adult, Senior","MO","Brentwood , MO","38.6175522","-90.3492829"
"684598","NCT02585934","Completed","Drug","All","Interventional","Encino","California","Not available","Adult, Senior","CA","Encino , CA","34.1517492","-118.5214282"
"684616","NCT00265148","Completed","Drug","All","Interventional","Scottsdale","Arizona","Not available","Adult, Senior","AZ","Scottsdale , AZ","33.4941704","-111.9260519"
"684640","NCT01689233","Completed","Drug","All","Interventional","Bellflower","California","Not available","Child, Adult, Senior","CA","Bellflower , CA","33.8816818","-118.1170117"
"684650","NCT02956486","Recruiting","Drug","All","Interventional","Irvine","California","Not available","Adult, Senior","CA","Irvine , CA","33.6845673","-117.8265049"
"684718","NCT03036280","Recruiting","Drug","All","Interventional","Glendale","California","Not available","Adult, Senior","CA","Glendale , CA","34.1425078","-118.255075"
"684766","NCT01689246","Completed","Drug","All","Interventional","Los Angeles","California","Not available","Child, Adult, Senior","CA","Los Angeles , CA","34.0522342","-118.2436849"
"684885","NCT00230568","Completed","Drug","All","Interventional","El Centro","California","Not available","Adult, Senior","CA","El Centro , CA","32.792","-115.5630514"
"684887","NCT00235716","Completed","Drug","All","Interventional","Iowa City","Iowa","Not available","Adult, Senior","IA","Iowa City , IA","41.6611277","-91.5301683"
"684903","NCT01284387","Completed","Biological","All","Interventional","Long Beach","California","Not available","Adult, Senior","CA","Long Beach , CA","33.7700504","-118.1937395"
"684964","NCT02880956","Recruiting","Drug","All","Interventional","Irvine","California","Not available","Adult, Senior","CA","Irvine , CA","33.6845673","-117.8265049"
"685032","NCT02547818","Recruiting","Drug","All","Interventional","Laguna Hills","California","Not available","Adult, Senior","CA","Laguna Hills , CA","33.5916433","-117.6986604"
"685065","NCT00876863","Active, not recruiting","Genetic","All","Interventional","San Diego","California","Not available","Adult, Senior","CA","San Diego , CA","32.715738","-117.1610838"
"685199","NCT00384423","Completed","Drug","All","Interventional","San Diego","California","Not available","Adult, Senior","CA","San Diego , CA","32.715738","-117.1610838"
"685333","NCT02245737","Active, not recruiting","Drug","All","Interventional","Sun City","Arizona","Phase 3","Adult, Senior","AZ","Sun City , AZ","33.5975393","-112.2718239"
"685434","NCT02580305","Recruiting","Drug","All","Interventional","Sun City","Arizona","Not available","Adult, Senior","AZ","Sun City , AZ","33.5975393","-112.2718239"
"685535","NCT03131453","Recruiting","Drug","All","Interventional","Costa Mesa","California","Phase 3","Adult, Senior","CA","Costa Mesa , CA","33.6412156","-117.9188221"
"685595","NCT00348140","Completed","Drug","All","Interventional","Little Rock","Arkansas","Not available","Adult, Senior","AR","Little Rock , AR","34.7464809","-92.2895948"
"685633","NCT00117403","Completed","Drug","All","Interventional","La Jolla","California","Not available","Adult, Senior","CA","La Jolla , CA","32.8328112","-117.2712717"
"685691","NCT00083421","Completed","Drug","All","Interventional","Mesa","Arizona","Not available","Adult, Senior","AZ","Mesa , AZ","33.4151843","-111.8314724"
"685699","NCT02240693","Active, not recruiting","Drug","All","Interventional","West Palm Beach","Florida","Not available","Adult, Senior","FL","West Palm Beach , FL","26.7153424","-80.0533746"
"685806","NCT00004845","Completed","Drug","All","Interventional","Irvine","California","Phase 3","Adult, Senior","CA","Irvine , CA","33.6845673","-117.8265049"
"685874","NCT01428362","Completed","Drug","All","Interventional","Sunrise","Florida","Not available","Adult, Senior","FL","Sunrise , FL","26.1669711","-80.256595"
"685908","NCT00904683","Completed","Drug","All","Interventional","San Diego","California","Not available","Adult, Senior","CA","San Diego , CA","32.715738","-117.1610838"
"686042","NCT00105105","Terminated","Drug","All","Interventional","Fountain Valley","California","Not available","Child, Adult, Senior","CA","Fountain Valley , CA","33.7090212","-117.9544069"
"686047","NCT00934050","Completed","Drug","All","Interventional","Tucson","Arizona","Not available","Child, Adult, Senior","AZ","Tucson , AZ","32.2217429","-110.926479"
"686123","NCT00142805","Completed","Drug","All","Interventional","Los Alamitos","California","Not available","Adult, Senior","CA","Los Alamitos , CA","33.8032009","-118.0718894"
"686145","NCT00568776","Completed","Drug","All","Interventional","Tucson","Arizona","Not available","Adult, Senior","AZ","Tucson , AZ","32.2217429","-110.926479"
"686221","NCT02560753","Active, not recruiting","Drug","All","Interventional","Charlotte","North Carolina","Phase 2","Adult, Senior","NC","Charlotte , NC","35.2270869","-80.8431267"
"686285","NCT00818662","Completed","Biological","All","Interventional","Sun City","Arizona","Not available","Adult, Senior","AZ","Sun City , AZ","33.5975393","-112.2718239"
"686386","NCT00829374","Completed","Drug","All","Interventional","Tucson","Arizona","Not available","Adult, Senior","AZ","Tucson , AZ","32.2217429","-110.926479"
"686462","NCT00191009","Completed","Drug","All","Interventional","Wichita Falls","Texas","Phase 3","Adult, Senior","TX","Wichita Falls , TX","33.9137085","-98.4933873"
"686494","NCT00594568","Completed","Drug","All","Interventional","Sun City","Arizona","Not available","Adult, Senior","AZ","Sun City , AZ","33.5975393","-112.2718239"
"686595","NCT00428090","Completed","Drug","All","Interventional","Newport Beach","California","Not available","Adult, Senior","CA","Newport Beach , CA","33.6188829","-117.9298493"
"686633","NCT02359552","Recruiting","Drug","All","Interventional","Lakewood","Ohio","Not available","Adult, Senior","OH","Lakewood , OH","41.4819932","-81.7981908"
"686640","NCT00905372","Completed","Drug","All","Interventional","Tuscon","Arizona","Not available","Adult, Senior","AZ","Tuscon , AZ","32.2217429","-110.926479"
"686643","NCT01127633","Terminated","Drug","All","Interventional","Tuscon","Arizona","Not available","Adult, Senior","AZ","Tuscon , AZ","32.2217429","-110.926479"
"686646","NCT01565343","Completed","Drug","All","Interventional","West Palm Beach","Florida","Not available","Adult, Senior","FL","West Palm Beach , FL","26.7153424","-80.0533746"
"686753","NCT00056225","Completed","Drug","All","Interventional","Sun City","Arizona","Not available","Adult, Senior","AZ","Sun City , AZ","33.5975393","-112.2718239"
"686854","NCT01524887","Terminated","Biological","All","Interventional","Long Beach","California","Not available","Adult, Senior","CA","Long Beach , CA","33.7700504","-118.1937395"
"686915","NCT00069849","Terminated","Drug","All","Interventional","Orlando","Florida","Not available","Adult, Senior","FL","Orlando , FL","28.5383355","-81.3792365"
"687044","NCT00672945","Terminated","Drug","All","Interventional","Tucson","Arizona","Not available","Adult, Senior","AZ","Tucson , AZ","32.2217429","-110.926479"
"687120","NCT01837641","Active, not recruiting","Biological","All","Interventional","Atlanta","Georgia","Not available","Adult, Senior","GA","Atlanta , GA","33.7489954","-84.3879824"
"687256","NCT01565291","Completed","Drug","All","Interventional","Long Branch","New Jersey","Not available","Adult, Senior","NJ","Long Branch , NJ","40.3042778","-73.9923596"
"687271","NCT03008161","Recruiting","Drug","All","Interventional","Fairfield","Connecticut","Not available","Adult, Senior","CT","Fairfield , CT","41.1408363","-73.2612615"
"687286","NCT00231946","Completed","Drug","All","Interventional","Fresno","California","Not available","Adult, Senior","CA","Fresno , CA","36.7468422","-119.7725868"
"687342","NCT00693004","Terminated","Drug","All","Interventional","Tucson","Arizona","Not available","Adult, Senior","AZ","Tucson , AZ","32.2217429","-110.926479"
"687418","NCT02167256","Active, not recruiting","Drug","All","Interventional","Los Angeles","California","Not available","Adult, Senior","CA","Los Angeles , CA","34.0522342","-118.2436849"
"687537","NCT00151398","Completed","Drug","All","Interventional","Costa Mesa","California","Not available","Adult, Senior","CA","Costa Mesa , CA","33.6412156","-117.9188221"
"687597","NCT01565330","Completed","Drug","All","Interventional","Clementon","New Jersey","Not available","Adult, Senior","NJ","Clementon , NJ","39.8115033","-74.9829443"
"687599","NCT02006641","Completed","Drug","All","Interventional","Anaheim","California","Not available","Adult, Senior","CA","Anaheim , CA","33.8365932","-117.9143012"
"687609","NCT00151333","Completed","Drug","All","Interventional","Miami","Florida","Not available","Adult, Senior","FL","Miami , FL","25.7616798","-80.1917902"
"687836","NCT02477800","Recruiting","Drug","All","Interventional","Fullerton","California","Not available","Adult, Senior","CA","Fullerton , CA","33.8703645","-117.9242123"
"687856","NCT00948909","Completed","Drug","All","Interventional","Indianapolis","Indiana","Not available","Adult, Senior","IN","Indianapolis , IN","39.768403","-86.158068"
"687974","NCT01397539","Completed","Drug","All","Interventional","Beachwood","Ohio","Not available","Adult, Senior","OH","Beachwood , OH","41.4644979","-81.5087322"
"687997","NCT00440050","Completed","Drug","All","Interventional","Sun City","Arizona","Not available","Adult, Senior","AZ","Sun City , AZ","33.5975393","-112.2718239"
"688098","NCT00498602","Completed","Biological","All","Interventional","Sun City","Arizona","Not available","Adult, Senior","AZ","Sun City , AZ","33.5975393","-112.2718239"
"688199","NCT02051608","Active, not recruiting","Drug","All","Interventional","Tucson","Arizona","Not available","Adult, Senior","AZ","Tucson , AZ","32.2217429","-110.926479"
"688275","NCT02353598","Active, not recruiting","Drug","All","Interventional","Delray Beach","Florida","Not available","Adult, Senior","FL","Delray Beach , FL","26.4614625","-80.0728201"
"688369","NCT03117738","Recruiting","Drug","All","Interventional","Honolulu","Hawaii","Phase 2","Adult, Senior","HI","Honolulu , HI","21.3069444","-157.8583333"
"688384","NCT00257673","Completed","Drug","All","Interventional","Phoenix","Arizona","Not available","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"688597","NCT01680588","Active, not recruiting","Drug","All","Interventional","Elk Grove Village","Illinois","Not available","Adult, Senior","IL","Elk Grove Village , IL","42.0039178","-87.9703461"
"688640","NCT01548430","Completed","Drug","All","Interventional","High Point","North Carolina","Not available","Adult, Senior","NC","High Point , NC","35.9556923","-80.0053176"
"688642","NCT00087724","Terminated","Drug","All","Interventional","Sun City","Arizona","Not available","Adult, Senior","AZ","Sun City , AZ","33.5975393","-112.2718239"
"688743","NCT00667810","Terminated","Drug","All","Interventional","Phoenix","Arizona","Not available","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"688956","NCT01527916","Completed","Drug","All","Interventional","West Palm Beach","Florida","Not available","Adult, Senior","FL","West Palm Beach , FL","26.7153424","-80.0533746"
"689063","NCT00359944","Completed","Drug","All","Interventional","Little Rock","Arkansas","Not available","Adult, Senior","AR","Little Rock , AR","34.7464809","-92.2895948"
"689101","NCT00895895","Terminated","Drug","All","Interventional","Costa Mesa","California","Not available","Adult, Senior","CA","Costa Mesa , CA","33.6412156","-117.9188221"
"689161","NCT01955161","Completed","Drug","All","Interventional","Little Rock","Arkansas","Not available","Adult, Senior","AR","Little Rock , AR","34.7464809","-92.2895948"
"689199","NCT02431468","Active, not recruiting","Drug","All","Interventional","Los Alamitos","California","Not available","Adult, Senior","CA","Los Alamitos , CA","33.8032009","-118.0718894"
"689221","NCT01482845","Completed","Drug","All","Interventional","Orlando","Florida","Not available","Adult, Senior","FL","Orlando , FL","28.5383355","-81.3792365"
"689350","NCT00575055","Completed","Drug","All","Interventional","Phoenix","Arizona","Not available","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"689563","NCT01224106","Active, not recruiting","Drug","All","Interventional","Oxnard","California","Not available","Adult, Senior","CA","Oxnard , CA","34.1975048","-119.1770516"
"689584","NCT02624778","Recruiting","Biological","All","Interventional","The Villages","Florida","Not available","Adult, Senior","FL","The Villages , FL","28.927019","-82.0037608"
"689608","NCT00090116","Completed","Drug","All","Interventional","Fresno","California","Not available","Adult, Senior","CA","Fresno , CA","36.7468422","-119.7725868"
"689664","NCT02006654","Completed","Drug","All","Interventional","Costa Mesa","California","Not available","Adult, Senior","CA","Costa Mesa , CA","33.6412156","-117.9188221"
"689724","NCT00574132","Completed","Drug","All","Interventional","Phoenix","Arizona","Not available","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"689937","NCT01676935","Terminated","Drug","All","Interventional","Elk Grove Village","Illinois","Not available","Adult, Senior","IL","Elk Grove Village , IL","42.0039178","-87.9703461"
"689980","NCT01193608","Completed","Drug","All","Interventional","Hallandale Beach","Florida","Not available","Adult, Senior","FL","Hallandale Beach , FL","25.9812024","-80.148379"
"690039","NCT00481520","Completed","Drug","All","Interventional","St. Petersburg","Florida","Not available","Adult, Senior","FL","St. Petersburg , FL","27.7518284","-82.6267345"
"690075","NCT03056729","Recruiting","Drug","All","Interventional","Evansville","Indiana","Not available","Adult, Senior","IN","Evansville , IN","37.9715592","-87.5710898"
"690080","NCT01723826","Completed","Drug","All","Interventional","Sun City","Arizona","Not available","Adult, Senior","AZ","Sun City , AZ","33.5975393","-112.2718239"
"690181","NCT00939783","Terminated","Drug","All","Interventional","Little Rock","Arkansas","Not available","Adult, Senior","AR","Little Rock , AR","34.7464809","-92.2895948"
"690219","NCT00566397","Completed","Drug","All","Interventional","Irvine","California","Not available","Adult, Senior","CA","Irvine , CA","33.6845673","-117.8265049"
"690287","NCT00884507","Completed","Drug","All","Interventional","Norwalk","Connecticut","Not available","Adult, Senior","CT","Norwalk , CT","41.117744","-73.4081575"
"690320","NCT01343966","Completed","Drug","All","Interventional","Encino","California","Not available","Adult, Senior","CA","Encino , CA","34.1517492","-118.5214282"
"690338","NCT01690195","Terminated","Drug","All","Interventional","Hamden","Connecticut","Not available","Adult, Senior","CT","Hamden , CT","41.3838782","-72.9026064"
"690369","NCT01066546","Terminated","Drug","All","Interventional","Los Alamitos","California","Not available","Adult, Senior","CA","Los Alamitos , CA","33.8032009","-118.0718894"
"690391","NCT03114657","Recruiting","Drug","All","Interventional","Tucson","Arizona","Not available","Adult, Senior","AZ","Tucson , AZ","32.2217429","-110.926479"
"690467","NCT00428389","Completed","Drug","All","Interventional","Fresno","California","Not available","Adult, Senior","CA","Fresno , CA","36.7468422","-119.7725868"
"690523","NCT00606476","Terminated","Drug","All","Interventional","Encino","California","Not available","Child, Adult, Senior","CA","Encino , CA","34.1517492","-118.5214282"
"690541","NCT02386306","Completed","Drug","All","Interventional","Hallandale Beach","Florida","Not available","Adult, Senior","FL","Hallandale Beach , FL","25.9812024","-80.148379"
"690600","NCT01677754","Completed","Drug","All","Interventional","Lomita","California","Not available","Adult, Senior","CA","Lomita , CA","33.7922392","-118.3150722"
"690614","NCT02640092","Recruiting","Drug","All","Interventional","Stamford","Connecticut","Not available","Adult, Senior","CT","Stamford , CT","41.0534302","-73.5387341"
"690624","NCT01254773","Completed","Drug","All","Interventional","La Habra","California","Not available","Adult, Senior","CA","La Habra , CA","33.9318591","-117.946137"
"690628","NCT00890890","Terminated","Drug","All","Interventional","Phoenix","Arizona","Not available","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"690841","NCT01549834","Completed","Drug","All","Interventional","San Francisco","California","Not available","Adult, Senior","CA","San Francisco , CA","37.7749295","-122.4194155"
"690968","NCT01492374","Completed","Drug","All","Interventional","San Francisco","California","Not available","Adult, Senior","CA","San Francisco , CA","37.7749295","-122.4194155"
"691095","NCT01677572","Active, not recruiting","Drug","All","Interventional","Lomita","California","Not available","Adult, Senior","CA","Lomita , CA","33.7922392","-118.3150722"
"691109","NCT00244322","Completed","Drug","All","Interventional","Saint Louis","Missouri","Not available","Adult, Senior","MO","Saint Louis , MO","38.6270025","-90.1994042"
"691155","NCT01397578","Completed","Drug","All","Interventional","Tucson","Arizona","Not available","Adult, Senior","AZ","Tucson , AZ","32.2217429","-110.926479"
"691231","NCT01712074","Terminated","Drug","All","Interventional","Rancho Mirage","California","Not available","Adult, Senior","CA","Rancho Mirage , CA","33.739744","-116.41279"
"691250","NCT00329082","Completed","Drug","All","Interventional","Indianapolis","Indiana","Not available","Adult, Senior","IN","Indianapolis , IN","39.768403","-86.158068"
"691368","NCT03316898","Not yet recruiting","Drug","All","Interventional","Long Beach","California","Not available","Adult, Senior","CA","Long Beach , CA","33.7700504","-118.1937395"
"691429","NCT02972658","Enrolling by invitation","Drug","All","Interventional","Laguna Hills","California","Not available","Adult, Senior","CA","Laguna Hills , CA","33.5916433","-117.6986604"
"691462","NCT00000176","Completed","Drug","Female","Interventional","Stamford","Connecticut","Not available","Adult, Senior","CT","Stamford , CT","41.0534302","-73.5387341"
"691472","NCT01013610","Completed","Drug","All","Interventional","Miami","Florida","Not available","Adult, Senior","FL","Miami , FL","25.7616798","-80.1917902"
"691699","NCT02783573","Recruiting","Drug","All","Interventional","Scottsdale","Arizona","Not available","Adult, Senior","AZ","Scottsdale , AZ","33.4941704","-111.9260519"
"691723","NCT02788513","Suspended","Drug","All","Interventional","Lemon Grove","California","Not available","Adult, Senior","CA","Lemon Grove , CA","32.7425516","-117.0314172"
"691727","NCT02337907","Active, not recruiting","Drug","All","Interventional","West Palm Beach","Florida","Not available","Adult, Senior","FL","West Palm Beach , FL","26.7153424","-80.0533746"
"691834","NCT03019536","Recruiting","Drug","All","Interventional","Orlando","Florida","Not available","Adult, Senior","FL","Orlando , FL","28.5383355","-81.3792365"
"691963","NCT01561430","Terminated","Drug","All","Interventional","Tucson","Arizona","Phase 2","Adult, Senior","AZ","Tucson , AZ","32.2217429","-110.926479"
"692039","NCT00506415","Completed","Drug","All","Interventional","Phoenix","Arizona","Not available","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"692252","NCT00083590","Completed","Drug","All","Interventional","Irvine","California","Not available","Adult, Senior","CA","Irvine , CA","33.6845673","-117.8265049"
"692320","NCT00099242","Completed","Drug","All","Interventional","Boca Raton","Florida","Not available","Adult, Senior","FL","Boca Raton , FL","26.3683064","-80.1289321"
"692367","NCT00086138","Completed","Drug","All","Interventional","Rochester","New York","Phase 3","Adult, Senior","NY","Rochester , NY","43.16103","-77.6109219"
"692459","NCT00750282","Completed","Drug","All","Interventional","New Haven","Connecticut","Not available","Adult, Senior","CT","New Haven , CT","41.308274","-72.9278835"
"692624","NCT00843518","Completed","Drug","All","Interventional","Hamden","Connecticut","Not available","Adult, Senior","CT","Hamden , CT","41.3838782","-72.9026064"
"692655","NCT02573740","Terminated","Drug","All","Interventional","The Villages","Florida","Not available","Adult, Senior","FL","The Villages , FL","28.927019","-82.0037608"
"692679","NCT02791191","Recruiting","Drug","All","Interventional","San Diego","California","Not available","Adult, Senior","CA","San Diego , CA","32.715738","-117.1610838"
"692813","NCT01466088","Completed","Drug","All","Interventional","Hallandale Beach","Florida","Not available","Adult, Senior","FL","Hallandale Beach , FL","25.9812024","-80.148379"
"692872","NCT00948766","Completed","Drug","All","Interventional","Conway","Arkansas","Not available","Adult, Senior","AR","Conway , AR","35.0886963","-92.4421011"
"692873","NCT02004392","Terminated","Drug","All","Interventional","Little Rock","Arkansas","Not available","Adult, Senior","AR","Little Rock , AR","34.7464809","-92.2895948"
"692911","NCT01969136","Terminated","Drug","All","Interventional","Culver City","California","Not available","Adult, Senior","CA","Culver City , CA","34.0211224","-118.3964665"
"692914","NCT01969123","Terminated","Drug","All","Interventional","Costa Mesa","California","Not available","Adult, Senior","CA","Costa Mesa , CA","33.6412156","-117.9188221"
"692974","NCT00112073","Completed","Drug","All","Interventional","Los Alamitos","California","Not available","Adult, Senior","CA","Los Alamitos , CA","33.8032009","-118.0718894"
"692996","NCT00104273","Completed","Drug","All","Interventional","Tucson","Arizona","Not available","Adult, Senior","AZ","Tucson , AZ","32.2217429","-110.926479"
"693072","NCT01320527","Completed","Dietary Supplement","All","Interventional","Ayer","Massachusetts","Not available","Adult, Senior","MA","Ayer , MA","42.5611947","-71.5899054"
"693073","NCT00000179","Completed","Drug","All","Interventional","Miami","Florida","Not available","Adult, Senior","FL","Miami , FL","25.7616798","-80.1917902"
"693300","NCT00071721","Completed","Drug","All","Interventional","Irvine","California","Not available","Adult, Senior","CA","Irvine , CA","33.6845673","-117.8265049"
"693368","NCT01099332","Unknown status","Other","All","Interventional","Port Richey","Florida","Phase 2","Adult, Senior","FL","Port Richey , FL","28.2716755","-82.7195451"
"693369","NCT00829816","Completed","Drug","All","Interventional","Delray Beach","Florida","Not available","Adult, Senior","FL","Delray Beach , FL","26.4614625","-80.0728201"
"693463","NCT01561053","Active, not recruiting","Biological","All","Interventional","D.C.","District of Columbia","Phase 3","Adult, Senior","DC","D.C. , DC","38.9071923","-77.0368707"
"693491","NCT00096473","Completed","Drug","All","Interventional","Sun City","Arizona","Not available","Adult, Senior","AZ","Sun City , AZ","33.5975393","-112.2718239"
"693592","NCT02886494","Recruiting","Drug","All","Interventional","San Diego","California","Not available","Adult, Senior","CA","San Diego , CA","32.715738","-117.1610838"
"693726","NCT02284906","Recruiting","Drug","All","Interventional","San Diego","California","Not available","Adult, Senior","CA","San Diego , CA","32.715738","-117.1610838"
"693860","NCT01931566","Active, not recruiting","Drug","All","Interventional","Long Beach","California","Not available","Adult, Senior","CA","Long Beach , CA","33.7700504","-118.1937395"
"693921","NCT00898807","Completed","Drug","All","Interventional","Baltimore","Maryland","Not available","Child, Adult, Senior","MD","Baltimore , MD","39.2903848","-76.6121893"
"694023","NCT00104013","Completed","Drug","All","Interventional","Peoria","Arizona","Not available","Adult, Senior","AZ","Peoria , AZ","33.5805955","-112.2373779"
"694037","NCT00153010","Completed","Drug","All","Interventional","Phoenix","Arizona","Not available","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"694250","NCT02036645","Completed","Biological","All","Interventional","Panorama City","California","Not available","Adult, Senior","CA","Panorama City , CA","34.227617","-118.442425"
"694254","NCT00766363","Completed","Drug","All","Interventional","Berlin","New Jersey","Not available","Adult, Senior","NJ","Berlin , NJ","39.7912261","-74.9290536"
"694265","NCT00041678","Completed","Drug","All","Interventional","Nashville","Tennessee","Not available","Adult, Senior","TN","Nashville , TN","36.1626638","-86.7816016"
"694302","NCT00036114","Completed","Drug","All","Interventional","Cerritos","California","Not available","Adult, Senior","CA","Cerritos , CA","33.8583483","-118.0647871"
"694304","NCT00368459","Completed","Drug","Female","Interventional","Springfield","Illinois","Not available","Adult, Senior","IL","Springfield , IL","39.7817213","-89.6501481"
"694336","NCT03118947","Recruiting","Drug","All","Interventional","Fullerton","California","Not available","Adult, Senior","CA","Fullerton , CA","33.8703645","-117.9242123"
"694356","NCT00663026","Completed","Drug","All","Interventional","Encino","California","Not available","Adult, Senior","CA","Encino , CA","34.1517492","-118.5214282"
"694374","NCT00322153","Completed","Drug","All","Interventional","Fresno","California","Not available","Adult, Senior","CA","Fresno , CA","36.7468422","-119.7725868"
"694430","NCT02992132","Recruiting","Drug","All","Interventional","Fullerton","California","Not available","Adult, Senior","CA","Fullerton , CA","33.8703645","-117.9242123"
"694450","NCT02322021","Active, not recruiting","Drug","All","Interventional","Glendale","California","Not available","Adult, Senior","CA","Glendale , CA","34.1425078","-118.255075"
"694498","NCT00940589","Completed","Drug","All","Interventional","Mt. Arlington","New Jersey","Not available","Adult, Senior","NJ","Mt. Arlington , NJ","40.9259319","-74.6348828"
"694501","NCT02750306","Recruiting","Drug","All","Interventional","Bellflower","California","Not available","Adult, Senior","CA","Bellflower , CA","33.8816818","-118.1170117"
"694511","NCT00021723","Terminated","Biological","All","Interventional","Beverly Hills","California","Not available","Adult, Senior","CA","Beverly Hills , CA","34.0736204","-118.4003563"
"694516","NCT00702143","Completed","Drug","All","Interventional","Sun City","Arizona","Not available","Adult, Senior","AZ","Sun City , AZ","33.5975393","-112.2718239"
"694617","NCT00006187","Terminated","Drug","All","Interventional","Los Alamitos","California","Not available","Adult, Senior","CA","Los Alamitos , CA","33.8032009","-118.0718894"
"694639","NCT01023685","Completed","Biological","All","Interventional","Hollywood","Florida","Not available","Child, Adult, Senior","FL","Hollywood , FL","26.0112014","-80.1494901"
"694667","NCT02817906","Recruiting","Drug","All","Interventional","Rogers","Arkansas","Not available","Adult, Senior","AR","Rogers , AR","36.3320196","-94.1185366"
"694671","NCT00795418","Completed","Biological","All","Interventional","Hollywood","Florida","Not available","Adult, Senior","FL","Hollywood , FL","26.0112014","-80.1494901"
"694699","NCT00550420","Terminated","Drug","All","Interventional","Hialeah","Florida","Not available","Adult, Senior","FL","Hialeah , FL","25.8575963","-80.2781057"
"694788","NCT00809510","Terminated","Drug","All","Interventional","Fresno","California","Not available","Adult, Senior","CA","Fresno , CA","36.7468422","-119.7725868"
"694844","NCT00490568","Terminated","Drug","All","Interventional","Tucson","Arizona","Not available","Adult, Senior","AZ","Tucson , AZ","32.2217429","-110.926479"
"694920","NCT01760005","Recruiting","Drug","All","Interventional","New Haven","Connecticut","Phase 3","Adult, Senior","CT","New Haven , CT","41.308274","-72.9278835"
"695085","NCT01097096","Completed","Biological","All","Interventional","Hollywood","Florida","Not available","Child, Adult, Senior","FL","Hollywood , FL","26.0112014","-80.1494901"
"695113","NCT01482013","Terminated","Drug","All","Interventional","High Point","North Carolina","Not available","Adult, Senior","NC","High Point , NC","35.9556923","-80.0053176"
"695115","NCT01035138","Completed","Drug","All","Interventional","Tucson","Arizona","Not available","Adult, Senior","AZ","Tucson , AZ","32.2217429","-110.926479"
"695191","NCT00380276","Terminated","Drug","All","Interventional","Phoenix","Arizona","Not available","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"695404","NCT03044249","Recruiting","Drug","All","Interventional","Miami Springs","Florida","Not available","Adult, Senior","FL","Miami Springs , FL","25.8223198","-80.289495"
"695420","NCT00916617","Terminated","Drug","All","Interventional","Delray Beach","Florida","Not available","Adult, Senior","FL","Delray Beach , FL","26.4614625","-80.0728201"
"695514","NCT00151502","Completed","Drug","All","Interventional","Laguna Hills","California","Not available","Adult, Senior","CA","Laguna Hills , CA","33.5916433","-117.6986604"
"695547","NCT01266525","Completed","Drug","All","Interventional","Costa Mesa","California","Not available","Adult, Senior","CA","Costa Mesa , CA","33.6412156","-117.9188221"
"695607","NCT00000173","Completed","Drug","All","Interventional","Irvine","California","Not available","Adult, Senior","CA","Irvine , CA","33.6845673","-117.8265049"
"695675","NCT01073228","Completed","Drug","All","Interventional","Costa Mesa","California","Not available","Adult, Senior","CA","Costa Mesa , CA","33.6412156","-117.9188221"
"695735","NCT02245568","Enrolling by invitation","Drug","All","Interventional","Laguna Hills","California","Not available","Child, Adult, Senior","CA","Laguna Hills , CA","33.5916433","-117.6986604"
