"nct_number","locnum","state","city","institution"
"NCT00966017",1," California"," Los Angeles","UCLA"
"NCT00968097",1," Connecticut"," New Haven","The Institute for Neurodegenerative Disorders"
"NCT00970333",1," Connecticut"," New Haven","Instiute for Neurodegenerative Disorders"
"NCT00973518",1," Illinois"," Chicago","Rush Alzheimer's Disease Center"
"NCT00973518",2," Illinois"," Elk Grove Village","Alexian Brothers Neuroscience Institute"
"NCT00979316",1," Arizona"," Tempe"," Inc,Mds Pharma Services (Us)"
"NCT00979446",1," Minnesota"," Bloomington","HealthPartners Research Foundation"
"NCT00980785",1," Wisconsin"," Madison","Wisconisn Alzheimer's Disease Research Center"
"NCT00982202",1," Ohio"," Cleveland","University Hospitals of Cleveland"
"NCT00982202",2," Virginia"," Charlottesville","University of Virginia"
"NCT00987220",1," Connecticut"," New Haven","Pfizer Investigational Site"
"NCT00988598",1," California"," Glendale","Pfizer Investigational Site"
"NCT00988598",2," Florida"," Gainesville","Pfizer Investigational Site"
"NCT00988598",3," Florida"," Hallandale Beach","Pfizer Investigational Site"
"NCT00988624",1," Connecticut"," New Haven","Pfizer Investigational Site"
"NCT00990613",1," Michigan"," Kalamazoo","Pfizer Investigational Site"
"NCT00991419",1," Arizona"," Phoenix","Research Site"
"NCT00997425",1," Florida"," Tampa","James A Haley Veterans' Hospital"
"NCT00998764",1," Alabama"," Birmingham","University Of Alabama at Birmingham"
"NCT00998764",2," Alabama"," Birmingham","UAB Center for Psychiatric Medicine"
"NCT00998764",3," Alabama"," Birmingham","University of Alabama at Birmingham"
"NCT00998764",4," Alabama"," Birmingham","University of Alabama-Birmingham"
"NCT00998764",5," Arizona"," Goodyear","Dedicated Clinical Research"
"NCT00998764",6," Arizona"," Phoenix","Banner Alzheimer's Institute"
"NCT00998764",7," Arizona"," Phoenix","Banner Good Samaritan Medical Center (Imaging"
"NCT00998764",8," Arizona"," Phoenix","Jeffrey S. Gitt"
"NCT00998764",9," Arizona"," Phoenix","Hope Research Institute"
"NCT00998764",10," Arkansas"," Little Rock"," Inc.,Clinical Trials"
"NCT00998764",11," California"," San Francisco","San Francisco Clinical Research Center"
"NCT00998764",12," Colorado"," Boulder"," Inc.,Alpine Clinical Research Center"
"NCT00998764",13," Colorado"," Boulder"," PC,Associated Neurologist"
"NCT00998764",14," Colorado"," Denver","Mile High Research Center"
"NCT00998764",15," Connecticut"," Fairfield"," P.C.,Associated Neurologists of Southern Connecticut"
"NCT00998764",16," Connecticut"," Greenwich"," Greenwich Hospital,Bendheim Infusion Center"
"NCT00998764",17," Connecticut"," Greenwich"," Greenwich Hospital,Center for Healthy Aging"
"NCT00998764",18," Connecticut"," Norwalk"," Inc.,Research Center for Clinical Studies"
"NCT00998764",19," Florida"," Atlantis","JEM Research LLC"
"NCT00998764",20," Florida"," Atlantis","Medical Specialists of the Palm Beaches"
"NCT00998764",21," Florida"," Delray Beach","Brain Matters Research"
"NCT00998764",22," Florida"," Orlando"," LLC,Compass Research"
"NCT00998764",23," Florida"," Palm Beach Gardens"," Inc., Advanced Research Consultants,Palm Beach Neurological Center"
"NCT00998764",24," Florida"," Port Charlotte"," Inc,Neurostudies"
"NCT00998764",25," Florida"," Port Charlotte"," Inc.,Southwest Florida Infusion Care"
"NCT00998764",26," Florida"," Sarasota","Roskamp Institute"
"NCT00998764",27," Florida"," Tampa","USF Health Byrd Alzheimer's Institute"
"NCT00998764",28," Georgia"," Lawrenceville"," LLC,Neuroscience Research Institute"
"NCT00998764",29," Georgia"," Lawrenceville","Neurostudies.net"
"NCT00998764",30," Illinois"," Elk Grove Village","Alexian Brothers Neurosciences Institute Clinical Research"
"NCT00998764",31," Illinois"," Springfield","Southern Illinois University School of Medicine Department"
"NCT00998764",32," Louisiana"," Lake Charles","Lake Charles Clinical Trials"
"NCT00998764",33," Massachusetts"," Pittsfield","Neuroscience Research of the Berkshires"
"NCT00998764",34," Massachusetts"," Springfield"," LLC,Springfield Neurology Associates"
"NCT00998764",35," Michigan"," East Lansing","Michigan State University"
"NCT00998764",36," Michigan"," East Lansing","Michigan State University"
"NCT00998764",37," Mississippi"," Hattiesburg","Neurological Research Center of Hattiesburg Clinic"
"NCT00998764",38," Missouri"," Kansas City"," P.C.,The Center for Pharmaceutical Research"
"NCT00998764",39," New Jersey"," Eatontown"," Inc.,Memory Enhancement Center of America"
"NCT00998764",40," New Jersey"," Manchester","Alzheimer's Research Corp./Merician Institute for Aging"
"NCT00998764",41," New Jersey"," Toms River"," CT & MRI,Toms River X-Ray"
"NCT00998764",42," New York"," LiverPool","MDR"
"NCT00998764",43," New York"," Liverpool","Neurological Care of Central New York"
"NCT00998764",44," North Carolina"," Raleigh"," Inc.,Carolina Neuropsychological Services"
"NCT00998764",45," North Carolina"," Raleigh","Healthsouth Blue Ridge Surgery Center"
"NCT00998764",46," North Carolina"," Raleigh","Raleigh Neurology Associates"
"NCT00998764",47," North Carolina"," Raleigh","Wake Radiology Associates"
"NCT00998764",48," Ohio"," Columbus","Ohio State Unviersity"
"NCT00998764",49," Oregon"," Portland","Summit Research Network(Oregon) Inc."
"NCT00998764",50," Oregon"," Portland","Providence Brain Institute-Cognitive Assessment Clinic"
"NCT00998764",51," Oregon"," Portland","Providence Brain Institute"
"NCT00998764",52," Pennsylvania"," Abington","Abington Neurological Associates"
"NCT00998764",53," Pennsylvania"," Abington","Abington Neurological Assoc"
"NCT00998764",54," Pennsylvania"," Abington","Bington Memorial Hospital"
"NCT00998764",55," Pennsylvania"," Jenkintown"," LLC,Clinical Trial Center"
"NCT00998764",56," Pennsylvania"," Philadelphia","Thomas Jefferson University Hospital"
"NCT00998764",57," Pennsylvania"," Philadelphia","Thomas Jefferson University"
"NCT00998764",58," Rhode Island"," East Providence","Rhode Island Mood and Memory Research Institute"
"NCT00998764",59," South Carolina"," Charleston","Medical University of South Carolina Hospitals and Clinics"
"NCT00998764",60," South Carolina"," Charleston","Medical University of South Carolina"
"NCT00998764",61," South Carolina"," North Charleston","Medical University of South Carolina"
"NCT00998764",62," Texas"," Dallas"," P.A.,Texas Neurology"
"NCT00998764",63," Texas"," San Antonio","Innovative Clinical Trials"
"NCT00998764",64," Texas"," San Antonio"," LLC,Integra Clinical Research"
"NCT00998764",65," Texas"," San Antonio","Vista Infusions"
"NCT00998764",66," Texas"," San Antonio","Inventive Infusion Solutions"
"NCT01000038",1," Nebraska"," Omaha","Parson's House Assisted Living"
"NCT01000870",1," Connecticut"," New Haven","Institute for Neurodegenerative Disorders"
"NCT01002586",1," Nebraska"," Omaha","University of Nebrasaka Medical Center"
"NCT01005862",1," California"," Glendale","Pfizer Investigational Site"
"NCT01005862",2," Missouri"," St. Louis","Pfizer Investigational Site"
"NCT01013610",1," Arizona"," Phoenix","Dedicated Phase I"
"NCT01013610",2," California"," Long Beach","Collaborative Neuroscience Network"
"NCT01013610",3," Florida"," Miami","Elite Research Insitute"
"NCT01013610",4," Florida"," Orlando"," LLC,Compass Research"
"NCT01013610",5," Georgia"," Atlanta","Atlanta Center for Medical Research"
"NCT01013610",6," Missouri"," St. Louis"," LC,St. Louis Clinical Trials"
"NCT01013610",7," Texas"," Houston","Clinical Trial Network"
"NCT01020838",1," Arizona","Sun City","NA"
"NCT01020838",2," California","Stanford","NA"
"NCT01020838",3," Florida","Tampa","NA"
"NCT01020838",4," New Jersey","Teaneck","NA"
"NCT01020838",5," Pennsylvania","Philadelphia","NA"
"NCT01020838",6," Texas","Dallas","NA"
"NCT01020838",7," Texas","Houston","NA"
"NCT01020838",8," Texas","San Antonio","NA"
"NCT01021644",1," District of Columbia"," Washington","Howard University General Clinical Research Center (GCRC)"
"NCT01021644",2," Pennsylvania"," Philadelphia","Temple University Exercise Physiology Laboratory"
"NCT01023685",1," California"," Costa Mesa"," Inc.,ATP Clinical Research"
"NCT01023685",2," Colorado"," Boulder","Alpin Research Center"
"NCT01023685",3," Florida"," Hollywood"," Inc.,Sunrise Clinical Research"
"NCT01023685",4," Illinois"," Elk Grove Village","Alexian Brothers Neuroscience Institute"
"NCT01023685",5," Indiana"," Indianapolis","Indiana University School of Medicine"
"NCT01023685",6," Pennsylvania"," Philadelphia","Drexel University College of Medicine"
"NCT01023685",7," Tennessee"," Knoxville","Volunteer Research Group"
"NCT01023685",8," Texas"," Dallas","University of Texas Southwestern"
"NCT01028053",1," New Jersey"," Princeton","GE Healthcare"
"NCT01028209",1," Connecticut"," New Haven","Institute for Neurodegenerative Disorders"
"NCT01028911",1," Kansas"," Wichita","Pfizer Investigational Site"
"NCT01028911",2," Kansas"," Wichita","Pfizer Investigational Site"
"NCT01035138",1," Arizona"," Phoenix"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",2," Arizona"," Sun City"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",3," Arizona"," Tucson"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",4," California"," Costa Mesa"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",5," California"," Fresno"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",6," California"," Laguna Hills"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",7," California"," Lomita"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",8," California"," Orange"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",9," California"," San Diego"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",10," California"," San Francisco"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",11," California"," Santa Monica"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",12," Connecticut"," Hamden"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",13," Connecticut"," New Haven"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",14," District of Columbia"," Washington"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",15," Florida"," Brooksville"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",16," Florida"," Deerfield Beach"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",17," Florida"," Fort Lauderdale"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",18," Florida"," Fort Myers"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",19," Florida"," Hollywood"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",20," Florida"," Miami"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",21," Florida"," Orlando"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",22," Florida"," St Petersburg"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",23," Florida"," Tampa Bay"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",24," Indiana"," Indianapolis"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",25," Kentucky"," Lexington"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",26," Louisiana"," New Orleans"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",27," Louisiana"," Shreveport"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",28," Massachusetts"," Hyannis"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",29," Missouri"," St Louis"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",30," New York"," New York"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",31," North Carolina"," Durham"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",32," North Carolina"," Raleigh"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",33," North Carolina"," Winston-Salem"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",34," Ohio"," Toledo"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",35," Oklahoma"," Oklahoma City"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",36," Oregon"," Eugene"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",37," Pennsylvania"," Jenkintown"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",38," Pennsylvania"," Philadelphia"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",39," Rhode Island"," East Providence"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",40," South Carolina"," North Charleston"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01035138",41," Vermont"," Bennington"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01038726",1," Ohio"," Cleveland","The Cleveland Clinic"
"NCT01039194",1," Maryland"," Baltimore","Parexel International - Baltimore Epcu"
"NCT01042314",1," Maryland"," Baltimore","Parexel International - Baltimore Epcu"
"NCT01044758",1," Maryland"," Baltimore","Johns Hopkins University School of Medicine"
"NCT01057030",1," California"," Glendale","California Clinical Trials Medical Group"
"NCT01058941",1," Oregon"," Portland","Oregon Health & Science University"
"NCT01059877",1," Pennsylvania"," Plymouth Meeting","Quietmind Foundation"
"NCT01066546",1," California"," Costa Mesa","Pfizer Investigational Site"
"NCT01066546",2," California"," Encino","Pfizer Investigational Site"
"NCT01066546",3," California"," Los Alamitos","Pfizer Investigational Site"
"NCT01066546",4," California"," Newport Beach","Pfizer Investigational Site"
"NCT01066546",5," Florida"," Delray Beach","Pfizer Investigational Site"
"NCT01072812",1," Texas"," San Antonio"," LLC,CEDRA Clinical Research"
"NCT01073228",1," Arizona"," Phoenix","HOPE Research Institute"
"NCT01073228",2," California"," Chino","Catalina Research Institute"
"NCT01073228",3," California"," Costa Mesa","ATP Clinical Research"
"NCT01073228",4," California"," Orange"," Irvine,University of California"
"NCT01073228",5," California"," Santa Rosa","Radiant Research"
"NCT01073228",6," Connecticut"," Norwalk"," Inc.,Research Center for Clinical Studies"
"NCT01073228",7," Connecticut"," Waterbury"," LLC,Chase Medical Research"
"NCT01073228",8," Florida"," Brooksville","Meridien Research"
"NCT01073228",9," Florida"," Delray Beach","Brain Matters Research"
"NCT01073228",10," Florida"," Hallandale Beach","MD Clinical"
"NCT01073228",11," Florida"," Miami Springs","Galiz Research"
"NCT01073228",12," Florida"," Ocala","Renstar Medical Research"
"NCT01073228",13," Florida"," Orlando"," LLC,Compass Research"
"NCT01073228",14," New Jersey"," Princeton","Princeton Medical Institute"
"NCT01073228",15," New Jersey"," Toms River","Memory Enhancement Center of NJ"
"NCT01073228",16," New York"," Brooklyn","Brooklyn Medical Institute"
"NCT01073228",17," New York"," Brooklyn","Social Psychiatry Research Institute"
"NCT01073228",18," New York"," Elmsford","Advanced Bio Behavioral Sciences Inc."
"NCT01073228",19," New York"," Rochester","University of Rochester Medical Center at MCH"
"NCT01073228",20," Ohio"," Columbus","Columbus Research and Wellness Institute"
"NCT01073228",21," Oregon"," Portland","Summit Research Network"
"NCT01073228",22," Texas"," Dallas"," L.P.,FutureSearch Trials of Dallas"
"NCT01073228",23," Texas"," Wichita Falls","Grayline Clinical Drug Trials"
"NCT01073228",24," Vermont"," Bennington","The Memory Clinic"
"NCT01073228",25," Virginia"," Williamsburg","The Center for Excellence in Aging and Geriatric Health"
"NCT01078636",1," Alabama"," Birmingham","University of Alabama at Birmingham"
"NCT01078636",2," Arizona"," Phoenix","Banner Alzheimer's Institute"
"NCT01078636",3," Arizona"," Sun City","Banner Sun Health Research Institute"
"NCT01078636",4," California"," Irvine"," Irvine,University of California"
"NCT01078636",5," California"," Irvine"," Irvine - BIC,University of California"
"NCT01078636",6," California"," Los Angeles","University of Southern California"
"NCT01078636",7," California"," Los Angeles"," Los Angeles,University of California"
"NCT01078636",8," California"," Martinez"," Davis,University of California"
"NCT01078636",9," California"," Palo Alto","Stanford University"
"NCT01078636",10," California"," San Diego"," San Diego,University of California"
"NCT01078636",11," California"," San Francisco"," San Francisco,University of California"
"NCT01078636",12," Connecticut"," New Haven","Yale University School of Medicine"
"NCT01078636",13," District of Columbia"," Washington","Georgetown University"
"NCT01078636",14," District of Columbia"," Washington","Howard University"
"NCT01078636",15," Florida"," Jacksonville"," Jacksonville,Mayo Clinic"
"NCT01078636",16," Florida"," Miami Beach","Wien Center"
"NCT01078636",17," Florida"," West Palm Beach","Premiere Research Institute"
"NCT01078636",18," Georgia"," Atlanta","Emory University"
"NCT01078636",19," Illinois"," Chicago","Northwestern University"
"NCT01078636",20," Illinois"," Chicago","Rush University Medical Center"
"NCT01078636",21," Indiana"," Indianapolis","Indiana University"
"NCT01078636",22," Kansas"," Kansas City","University of Kansas"
"NCT01078636",23," Kentucky"," Lexington","University of Kentucky"
"NCT01078636",24," Maryland"," Baltimore","Johns Hopkins University"
"NCT01078636",25," Massachusetts"," Boston","Brigham and Women's Hospital"
"NCT01078636",26," Massachusetts"," Boston","Boston University School of Medicine"
"NCT01078636",27," Michigan"," Ann Arbor","University of Michigan"
"NCT01078636",28," Minnesota"," Rochester"," Rochester,Mayo Clinic"
"NCT01078636",29," Missouri"," St. Louis"," St. Louis,Washington University"
"NCT01078636",30," Nevada"," Las Vegas","Cleveland Clinic Lou Ruvo Center for Brain Health (CCLRBC)"
"NCT01078636",31," New Hampshire"," Lebanon","Dartmouth-Hitchcock Medical Center"
"NCT01078636",32," New York"," Albany","Albany Medical College"
"NCT01078636",33," New York"," Amherst","Dent Neurological Group"
"NCT01078636",34," New York"," New York","New York University"
"NCT01078636",35," New York"," New York","Mount Sinai School of Medicine"
"NCT01078636",36," New York"," New York","Columbia University"
"NCT01078636",37," New York"," Rochester","University of Rochester Medical Center"
"NCT01078636",38," North Carolina"," Durham","Duke University Medical Center"
"NCT01078636",39," North Carolina"," Winston-Salem","Wake Forest University"
"NCT01078636",40," Ohio"," Cleveland","Case Western Reserve University"
"NCT01078636",41," Ohio"," Columbus","Ohio State University"
"NCT01078636",42," Oregon"," Portland","Oregon Health and Science University"
"NCT01078636",43," Pennsylvania"," Philadelphia","University of Pennsylvania"
"NCT01078636",44," Pennsylvania"," Pittsburgh","University of Pittsburgh"
"NCT01078636",45," Rhode Island"," Providence","Rhode Island Hospital"
"NCT01078636",46," Rhode Island"," Providence","Butler Hospital Memory & Aging Program"
"NCT01078636",47," South Carolina"," Charleston","Medical University of South Carolina"
"NCT01078636",48," Texas"," Dallas","University of Texas SWMC"
"NCT01078636",49," Texas"," Houston","Baylor College of Medicine"
"NCT01078636",50," Wisconsin"," Madison","University of Wisconsin"
"NCT01079819",1," California"," Cypress"," Llc,West Coast Clinical Trials"
"NCT01079819",2," California"," Glendale","California Clinical Trials Medical Group"
"NCT01079819",3," New Jersey"," Eatontown","Iberica Clinical Research Center"
"NCT01082965",1," California"," San Francisco","Pfizer Investigational Site"
"NCT01082965",2," California"," San Francisco","Pfizer Investigational Site"
"NCT01082965",3," Maryland"," Baltimore","Pfizer Investigational Site"
"NCT01082965",4," Maryland"," Baltimore","Pfizer Investigational Site"
"NCT01082965",5," Missouri"," St. Louis","Pfizer Investigational Site"
"NCT01082965",6," Missouri"," St. Louis","Pfizer Investigational Site"
"NCT01082965",7," Pennsylvania"," Philadelphia","Pfizer Investigational Site"
"NCT01082965",8," Pennsylvania"," Philadelphia","Pfizer Investigational Site"
"NCT01094340",1," Arizona"," Sun City","Banner Sun Health Research Institute"
"NCT01097096",1," California"," Costa Mesa","Novartis Investigative Site"
"NCT01097096",2," Colorado"," Boulder","Novartis Investigative Site"
"NCT01097096",3," Florida"," Hollywood","Novartis Investigative Site"
"NCT01097096",4," Indiana"," Indianapolis","Novartis Investigative Site"
"NCT01097096",5," New Jersey"," Eatontown","Novartis Investigative Site"
"NCT01099332",1," Florida"," Clearwater","Neuroscience Research Unit"
"NCT01099332",2," Florida"," Holiday","ATIT Neurology"
"NCT01099332",3," Florida"," Port Richey","The Cottages"
"NCT01117181",1," Maryland"," Baltimore","Johns Hopkins University"
"NCT01117181",2," South Carolina"," Charleston","Medical University of South Carolina"
"NCT01122329",1," California"," Los Angeles"," UCLA Medical Center,200 Medical Plaza"
"NCT01122329",2," California"," Los Angeles","Center for Neurotherapeutics at UCLA"
"NCT01126099",1," Washington"," Seattle","Veterans Affairs Puget Sound Health Care System"
"NCT01127633",1," Arizona"," Phoenix"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01127633",2," Arizona"," Sun City"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01127633",3," Arizona"," Tuscon"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01127633",4," Arkansas"," Little Rock"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
"NCT01127633",5," California"," Carson"," or speak with your personal physician., EST), 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, contact 1-877-CTLILLY (1-877-285-4559,For additional information regarding investigative sites for this trial"
