"Rank","NCT Number","Title","Acronym","Recruitment","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","Last Verified","First Submitted","First Posted","Results First Submitted","Results First Posted","Last Update Submitted","Last Update Posted","Locations","URL"
1377,"NCT02397980","Intervention Programs for Decreasing Caregiver Burden in Caregivers of Patients With Dementia","I-care","Unknown status","No Results Available","Alzheimer's Disease|Dementia","Behavioral: Behavioral intervention","Changes in Caregiver burden (Zaret's Burden Inventory (ZBI)|Changes in quality of life of caregivers as assessed by Philadelphia Geriatric Center for Moral Scale (PGCMS)|Changes in behavioral problems of patients with dementia as assessed by the Neuropsychiatry inventory|Changes in Depression of caregivers as assessed by the geriatric depression scale","Ewha Womans University Mokdong Hospital","All","30 Years to 80 Years   (Adult, Senior)","","80","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Supportive Care","EUMC2014-12-028","March 2015","December 2015","December 2016","March 2015","March 13, 2015","March 25, 2015","null","null","March 24, 2015","March 25, 2015","","https://ClinicalTrials.gov/show/NCT02397980"
1378,"NCT02347202","Tools for Distance Delivery of an Evidence-based AD Family Caregiver Intervention","null","Recruiting","No Results Available","Alzheimer's Disease|Dementia","Other: Online counseling via Zoom teleconferencing|Other: Telephone support as needed","Differences in depressive symptoms between groups (One-way analysis of variance, questionnaire)|Differences in reactions to problem behaviors between groups (questionnaire)|Differences in satisfaction with social support between groups (questionnaire)","New York University School of Medicine","All","21 Years to 125 Years   (Adult, Senior)","","240","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","14-01185","October 2015","December 31, 2017","December 31, 2017","April 2017","January 9, 2015","January 27, 2015","null","null","April 19, 2017","April 20, 2017","NYU School of Medicine, New York, New York, United States","https://ClinicalTrials.gov/show/NCT02347202"
1379,"NCT01055561","A Study of Acupuncture for Patients With Behavioural and Psychological Symptoms of Dementia","null","Completed","No Results Available","Alzheimer's Disease|Dementia","Other: Acupuncture","The Questionnaire of Acupuncture Events|Change from baseline on Mini-Mental State-Examination（MMSE）,The Behavioral Pathology in Alzheimer's Disease Rating Scale（BEHAVE-AD）and Activity of Daily Living Scale（ADL）|Treatment Emergent Symptom Scale (TESS)","Chengdu University of Traditional Chinese Medicine","All","60 Years to 85 Years   (Adult, Senior)","Phase 1","30","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2008SZ0135","January 2010","February 2011","March 2011","May 2016","January 22, 2010","January 25, 2010","null","null","May 27, 2016","May 30, 2016","Yong Tang, Chengdu, Sichuan, China","https://ClinicalTrials.gov/show/NCT01055561"
1380,"NCT01023425","Clinical Trial of Donepezil Between the Naive Group and the Switching Group","null","Completed","No Results Available","Alzheimer's Disease|Dementia","Drug: donepezil","Alzheimer's Disease Assessment Scale-Cognitive, Korean version (ADAS-Cog-K)|Seoul Activities of Daily Living (S-ADL)|Seoul-Instrumental Activities of Daily Living (S-IADL)|Korean Neuropsychiatric Inventory (K-NPI)","Samsung Medical Center|Eisai Korea Inc.","All","Child, Adult, Senior","","72","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2008-02-072","February 2008","April 2009","April 2009","January 2016","November 30, 2009","December 2, 2009","null","null","January 4, 2016","January 6, 2016","Samsung Medical Center, Seoul, Korea, Republic of","https://ClinicalTrials.gov/show/NCT01023425"
1381,"NCT00987220","Effect of Aricept on Biomarkers (Acetylcholine, sAPP Alpha) In Cerebrospinal Fluid","null","Completed","No Results Available","Alzheimer's Disease|Dementia","Drug: Placebo|Drug: donepezil (Aricept)","Mean post-dose vs predose change in CSF acetycholine levels in donepezil compared to placebo control group.|Mean post-dose vs predose change in CSF histamine metabolites, sAPPalpha and inflammatory endpoints","Pfizer","All","18 Years to 55 Years   (Adult)","","12","Industry","Observational","Observational Model: Case Control|Time Perspective: Cross-Sectional","A9001428","October 2009","February 2010","February 2010","February 2011","September 28, 2009","September 30, 2009","null","null","February 10, 2011","February 14, 2011","Pfizer Investigational Site, New Haven, Connecticut, United States","https://ClinicalTrials.gov/show/NCT00987220"
1382,"NCT02921672","Feasibility Trial of a Mediterranean Diet Pattern to Prevent Cognitive Decline","null","Recruiting","No Results Available","Alzheimer's Disease|Cognitive Impairment","Other: Mediterranean Diet","Number of participants completing the study","University of Kansas Medical Center|National Institute on Aging (NIA)","All","65 Years and older   (Adult, Senior)","","30","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","STUDY00003894|P30AG035982","March 2016","June 2018","December 2018","August 2017","September 29, 2016","October 3, 2016","null","null","August 11, 2017","August 15, 2017","University of Kansas Medical Center, Kansas City, Kansas, United States","https://ClinicalTrials.gov/show/NCT02921672"
1383,"NCT02462161","Study of Nasal Insulin to Fight Forgetfulness - Short-Acting Insulin Aspart","SNIFF-Quick","Recruiting","No Results Available","Alzheimer's Disease|Mild Cognitive Impairment","Drug: Insulin aspart|Drug: Placebo","Change in cognition|Cerebral spinal fluid (CSF) and blood amyloid-beta, tau protein, and inflammatory markers|MRI measure of cortical thickness in Alzheimer's disease (AD) -vulnerable regions","Wake Forest University Health Sciences|National Institute on Aging (NIA)|General Electric","All","50 Years to 89 Years   (Adult, Senior)","Phase 1","30","Other|NIH|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IRB00026106|5P50AG005136-30","May 2015","July 2018","July 2018","April 2017","June 1, 2015","June 3, 2015","null","null","November 2, 2017","November 6, 2017","Wake Forest Baptist Hospital, Winston-Salem, North Carolina, United States","https://ClinicalTrials.gov/show/NCT02462161"
1384,"NCT00902499","Evolution of Memory Related Activity","null","Unknown status","No Results Available","Alzheimer's Disease|Mild Cognitive Impairment","","","National Institute on Aging (NIA)","All","55 Years to 90 Years   (Adult, Senior)","","160","NIH","Observational","Observational Model: Case Control|Time Perspective: Cross-Sectional","IA0159|5R01AG027435-04","May 2006","May 2011","May 2011","July 2010","May 13, 2009","May 15, 2009","null","null","July 23, 2010","July 26, 2010","Brigham and Women's Hospital, Boston, Massachusetts, United States|Massachusetts General Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT00902499"
1385,"NCT00788047","A Phase 1 Study To Evaluate The Effect Of Dimebon On The Pharmacokinetics Of Dextromethorphan","null","Completed","No Results Available","Huntington Disease|Alzheimer Disease","Drug: Dextromethorphan|Drug: Dimebon + Dextromethorphan","Dextromethorphan exposure in combination with Dimebon 20 mg TID relative to Dextromethorphan exposure alone|Safety and Tolerability (Adverse Events, Vital Signs, Clinical Labs, Electrocardiograms)|Dextrorphan (the metabolite of dextromethorphan) exposure","Pfizer|Medivation, Inc.","All","18 Years to 55 Years   (Adult)","Phase 1","14","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","B1451022","November 2008","January 2009","January 2009","March 2009","November 7, 2008","November 10, 2008","null","null","March 5, 2009","March 9, 2009","Pfizer Investigational Site, New Haven, Connecticut, United States","https://ClinicalTrials.gov/show/NCT00788047"
1386,"NCT00291161","Partners in Dementia Care: A Telephone Care Consultation Intervention Provided to Veterans in Partnership With Local Alzheimer's Association Chapters","PDC","Completed","Has Results","Dementia|Alzheimer Disease","Behavioral: Partners in Dementia Care","Caregiver Outcomes|Veteran Outcomes","VA Office of Research and Development|Benjamin Rose Institute|Alzheimer's Association","All","18 Years and older   (Adult, Senior)","","994","U.S. Fed|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","IIR 04-238","December 2006","September 2010","February 2011","May 2016","February 10, 2006","February 13, 2006","March 18, 2015","May 19, 2016","May 10, 2016","May 19, 2016","VA Boston Health Care System, Jamaica Plain, Boston, Massachusetts, United States|VA Boston Healthcare System, Brockton Campus, Brockton, Massachusetts, United States|Oklahoma City, OK, Oklahoma City, Oklahoma, United States|VA Medical Center, Providence, Providence, Rhode Island, United States|Beaumont VA Outpatient Clinic, Beaumont, Texas, United States|Michael E DeBakey VA Medical Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00291161"
1387,"NCT01454453","Optimisation of Antipsychotic Drug Use in Older People","null","Terminated","No Results Available","Alzheimer's Disease|Schizophrenia","Drug: Patients- dose titration","dose titration","Institute of Psychiatry, London","All","60 Years to 95 Years   (Adult, Senior)","Phase 4","64","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2167SR","May 2012","July 2015","July 2015","April 2017","October 12, 2011","October 19, 2011","null","null","April 18, 2017","April 19, 2017","Institute of Psychiatry, Kings College London, London, United Kingdom","https://ClinicalTrials.gov/show/NCT01454453"
1388,"NCT02299154","Memory Problems Perceptions Among Patients and Accompaniers During Diagnosis Process :","REMAD","Recruiting","No Results Available","Memory Disorders|Alzheimer Disease","Behavioral: Psychological questionnaires","Memory problems perceptions of patients and next of kin during diagnosis process|Psychometric properties of the french adaptation of the Ilness Perceptions Questionnaire - Memory (IPQ-M, Hurt et al. 2010)|Impact of the memory problems perceptions on mood and well-being|Differences of memory problems perceptions and coping according to level of cognitive disorder at the Mini-Mental State Examination (MMSE)","Central Hospital, Nancy, France|Union des associations France Alzheimer et maladies apparentées, France|Laboratoire APEMAC :Maladies chroniques, santé perçue, processus d adaptation, France","All","18 Years and older   (Adult, Senior)","","250","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","2014-A00156-41","December 2014","November 2017","November 2017","March 2016","November 20, 2014","November 24, 2014","null","null","March 7, 2016","March 8, 2016","University Hospital of Nancy ,CHU Brabois, France, Vandoeuvre les Nancy, France","https://ClinicalTrials.gov/show/NCT02299154"
1389,"NCT00042172","Treatment for Early Memory Loss","null","Completed","No Results Available","Cognition Disorders|Alzheimer Disease","Drug: Donepezil|Drug: Ginkgo Biloba Extract","","University of Iowa|National Institute of Mental Health (NIMH)","All","65 Years and older   (Adult, Senior)","Phase 4","40","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","R21MH061801|DSIR AT-GP","June 2002","September 2004","September 2004","February 2014","July 24, 2002","July 26, 2002","null","null","February 27, 2014","March 3, 2014","University of Iowa Department of Psychiatry, Iowa City, Iowa, United States","https://ClinicalTrials.gov/show/NCT00042172"
1390,"NCT01503944","A Trial of 18F-AV-133 and 18F-AV-45 Positron Emission Tomography (PET)","null","Completed","No Results Available","Dementia With Lewy Bodies|Alzheimer's Disease|Parkinson's Disease","Drug: 18F-AV-133|Drug: 18F-AV-45","18F-AV-133 striatal to occipital standard uptake value ratio|18F-AV-45 cortical to cerebellar standard uptake value ratio","Avid Radiopharmaceuticals","All","50 Years and older   (Adult, Senior)","Phase 1|Phase 2","30","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","18F-AV-133-B03","March 2010","July 2011","July 2011","August 2012","July 14, 2010","January 4, 2012","null","null","August 3, 2012","August 14, 2012","Research Site, Sun City, Arizona, United States|Research Site, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT01503944"
1391,"NCT03308032","Self-Directed Online Training for Chinese Caregivers","null","Enrolling by invitation","No Results Available","Dementia|Alzheimer Disease","Behavioral: Intervention|Behavioral: Control","Change in Stress Level","Environment and Health Group, Inc.","All","18 Years and older   (Adult, Senior)","","120","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","NIH 1R43HL115924-01","September 1, 2016","March 5, 2018","July 30, 2018","October 2017","October 3, 2017","October 12, 2017","null","null","October 11, 2017","October 12, 2017","","https://ClinicalTrials.gov/show/NCT03308032"
1392,"NCT02846415","Play Intervention for Dementia for Promoting Cognitive Function: A Feasibility Study","null","Not yet recruiting","No Results Available","Dementia|Alzheimer Disease","Behavioral: Play Intervention for Dementia","Changes of Global Cognition measured with Montreal Cognitive Assessment Scale after 2 months of intervention|Changes of Global Cognition measured with Montreal Cognitive Scale after 3 months of intervention|Memory measured with Fuld Object Memory Evaluation|Verbal Fluency measured with Modified Verbal Fluency Test","The Hong Kong Polytechnic University","All","65 Years and older   (Adult, Senior)","","38","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care","4-ZZFU","July 2016","July 2017","December 2017","July 2016","June 29, 2016","July 27, 2016","null","null","July 22, 2016","July 27, 2016","School of Nursing, The Hong Kong Polytechnic University, Hong Kong, Hong Kong","https://ClinicalTrials.gov/show/NCT02846415"
1393,"NCT02432222","Effects of Visual Arts Training on Dementia","null","Completed","No Results Available","Dementia|Alzheimer Disease","Behavioral: Visual Arts Training|Behavioral: Music Training","Montreal Cognitive Assessment (MOCA, change measure)|Working memory (change measure)|Rey-Osterreith test of long-term memory (change measure)|Trails test of set-shifting (change measure)|Dual task for visual and auditory search (change measure)|Behavioural psychiatric peformance (time-to-event measure)|Quality of Life (change measure)|Visual analog mood scale","York University","All","65 Years and older   (Adult, Senior)","","23","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","YorkU-AD1","April 2015","December 2015","December 2015","July 2016","April 1, 2015","May 4, 2015","null","null","July 11, 2016","July 13, 2016","","https://ClinicalTrials.gov/show/NCT02432222"
1394,"NCT00255866","Improving Mood and Behavior in Assisted Living Residents Through Skills Training for Their Caregivers","null","Completed","No Results Available","Dementia|Alzheimer Disease","Behavioral: Skills training for the care of dementia patients","Skills to effectively deal with resident behavioral problems|Resident depression, anxiety, behavioral problems, and quality of life","University of Washington|National Institute of Mental Health (NIMH)","All","21 Years and older   (Adult, Senior)","Phase 2|Phase 3","90","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)","26082-ED|R21MH069651|DSIR 82-SEDR","January 2004","December 2006","December 2006","December 2013","November 16, 2005","November 21, 2005","null","null","November 30, 2015","December 2, 2015","University of Arkansas for Medical Sciences, Little Rock, Arkansas, United States|Rush University School of Nursing, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT00255866"
1395,"NCT00105638","Telehealth Education Program for Caregivers of Veterans With Dementia","null","Completed","No Results Available","Dementia|Alzheimer Disease","Behavioral: educational program, by telephone","Reduction in veteran agitation and symptoms of depression; increase in caregiver management skills|Veterans will experience fewer hospitalizations and nursing home admissions","VA Office of Research and Development","All","Child, Adult, Senior","","160","U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)","IIR 03-076","September 2005","null","April 2007","November 2007","March 16, 2005","March 17, 2005","null","null","April 6, 2015","April 7, 2015","Albany VA Medical Center Samuel S. Stratton, Albany, NY, Albany, New York, United States|VA Western New York Healthcare System, Buffalo, NY, Buffalo, New York, United States","https://ClinicalTrials.gov/show/NCT00105638"
1396,"NCT00880555","Semantic Memory, Financial Capacity, and Brain Perfusion in Mild Cognitive Impairment (MCI) (CASL)","CASL","Completed","Has Results","Alzheimer Disease|Dementia","","FCI Score at Follow-up","VA Office of Research and Development|University of Alabama at Birmingham","All","50 Years to 89 Years   (Adult, Senior)","","78","U.S. Fed|Other","Observational","Time Perspective: Prospective","E6553-W","April 2009","May 2014","May 2014","February 2016","April 10, 2009","April 13, 2009","November 10, 2015","March 24, 2016","February 24, 2016","March 24, 2016","Birmingham VA Medical Center, Birmingham, AL, Birmingham, Alabama, United States","https://ClinicalTrials.gov/show/NCT00880555"
1397,"NCT00094939","Predictors of Cognitive Decline in Normal Aging","null","Unknown status","No Results Available","Alzheimer Disease|Dementia","","","National Institute on Aging (NIA)","All","60 Years to 80 Years   (Adult, Senior)","","170","NIH","Observational","Time Perspective: Prospective","IA0056|R01AG012101","September 2003","null","August 2008","September 2009","October 28, 2004","October 29, 2004","null","null","December 10, 2009","December 14, 2009","Center for Brain Health, Silberstein Institute, New York University School of Medicine, New York City, New York, United States","https://ClinicalTrials.gov/show/NCT00094939"
1398,"NCT00438568","SNIFF 120: Study of Nasal Insulin to Fight Forgetfulness (120 Days)","SNIFF 120","Completed","No Results Available","Mild Cognitive Impairment|Alzheimer's Disease","Drug: Regular Insulin|Drug: Placebo","Changes in cognition|glucose metabolism|plasma biological markers|CSF biological markers|cerebral glucose metabolism","University of Washington|National Institute on Aging (NIA)","All","55 Years and older   (Adult, Senior)","Phase 2","173","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","30579-B|5R01AG027415|1R01AG027415-01","June 2006","December 2011","December 2011","September 2012","February 21, 2007","February 22, 2007","null","null","September 12, 2012","September 14, 2012","Veterans Administration Puget Sound Health Care System, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00438568"
1399,"NCT02365051","Translation of COPE for Publicly-Funded Home Care Clients and Their Families","COPECT","Recruiting","No Results Available","Dementia|Alzheimer's Disease","Behavioral: Care of Persons with Dementia in their Environments","Functional dependence","UConn Health","All","65 Years and older   (Adult, Senior)","","580","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","15-014-3","May 2015","February 2018","February 2019","July 2017","January 26, 2015","February 18, 2015","null","null","July 6, 2017","July 11, 2017","UConn Center on Aging, Farmington, Connecticut, United States","https://ClinicalTrials.gov/show/NCT02365051"
1400,"NCT02356055","Mass Practice of Activities of Daily Living in Dementia (STOMP)","STOMP","Completed","No Results Available","Dementia|Alzheimer's Disease","Behavioral: STOMP (Skill-building through Task-Oriented Motor Practice)","5 point Observation of Activities of Daily Living|Frequency of Behavioral Responses during the Trial|10 point Caregiver Perception of Activity of Daily Living Performance and Satisfaction with Performance|Change in 10 point Caregiver Perception of Activity of Daily Living Performance and Satisfaction with Performance|Retention of 10 point Caregiver Perception of Activity of Daily Living Performance and Satisfaction with Performance|Change in Observation of Activity of Daily Living|Retention of Observed Activity of Daily Living at 90 Days","University of Oklahoma|VA Office of Research and Development|OU Medical Center|Oklahoma Shared Clinical and Translational Resources|Alzheimer's Association","All","50 Years to 90 Years   (Adult, Senior)","","32","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care","4648","October 2014","November 2016","November 2016","November 2016","October 7, 2014","February 5, 2015","null","null","November 18, 2016","November 21, 2016","","https://ClinicalTrials.gov/show/NCT02356055"
1401,"NCT02350127","Preventing Loss of Independence Through Exercise (PLIE) in Persons With Dementia","PLIE-VA","Recruiting","No Results Available","Dementia|Alzheimer's Disease","Behavioral: Preventing Loss of Independence through Exercise (PLIE)|Behavioral: Usual Care Control","Short Physical Performance Battery (SPPB)|Alzheimer's Disease Assessment Scale - Cognitive Subscale (ADAS-cog)|Quality of Life Scale in Alzheimer's Disease (QOL-AD)|Disability Assessment for Dementia (DAD)|Geriatric Depression Scale (GDS)|Falls Efficacy Scale (FES)|Caregiver Burden Inventory (CBI)|Neuropsychiatric Inventory (NPI)|Positive Aspects of Caregiving (PAC)","VA Office of Research and Development|Marin Adult Day Health Center, Novato, CA|Institute on Aging, San Francisco, CA|Catholic Charities, Santa Rosa, CA|Alzheimer's Services of the East Bay|Bayview Hunters Point Adult Day Health Center|Primrose Inc Santa Rosa","All","Child, Adult, Senior","Phase 2|Phase 3","120","U.S. Fed|Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care","D1507-I|5I01RX001507-02","May 4, 2015","August 31, 2018","January 31, 2019","June 2017","January 16, 2015","January 29, 2015","null","null","June 28, 2017","July 2, 2017","San Francisco VA Medical Center, San Francisco, CA, San Francisco, California, United States","https://ClinicalTrials.gov/show/NCT02350127"
1402,"NCT02346201","Apathy in Dementia Methylphenidate Trial 2","ADMET2","Recruiting","No Results Available","Apathy|Alzheimer's Disease","Drug: Methylphenidate|Drug: Placebo","Neuropsychiatric Inventory (NPI)|Clinical Global Impression of Change (CGIC)","Johns Hopkins Bloomberg School of Public Health|National Institute on Aging (NIA)","All","Child, Adult, Senior","Phase 3","200","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","ADMET2|R01AG046543","January 2016","August 2019","August 2020","August 2017","January 20, 2015","January 26, 2015","null","null","August 16, 2017","August 21, 2017","Banner Alzheimer's Institute, Phoenix, Arizona, United States|University of Arkansas, Little Rock, Arkansas, United States|Yale Alzheimer's Disease Research Unit, New Haven, Connecticut, United States|Emory, Atlanta, Georgia, United States|Johns Hopkins University, Baltimore, Maryland, United States|University of Rochester, Rochester, New York, United States|Wake Forest, Winston-Salem, North Carolina, United States|University Hospitals- Case Medical Center, Cleveland, Ohio, United States|Roper-St. Francis Healthcare, Charleston, South Carolina, United States|Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada","https://ClinicalTrials.gov/show/NCT02346201"
1403,"NCT01715181","Volunteers Adding Life in Dementia: VALID","VALID","Completed","No Results Available","Dementia|Alzheimer's Disease","Other: Volunteer visits","Change in neuropsychiatric symptoms (measured by the Cohen-Mansfield Agitation Inventory)|Change in Neuropsychiatric Inventory score|Change in Cornell Depression in Dementia Rating Scale score|Change in Dementia Quality of Life Scale (DEMQoL) score|Change in Clinical Global Impression of Change (CGI-C)score","Queen's University|Alzheimer's Association","All","65 Years and older   (Adult, Senior)","","75","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","VALIDII|NIRG-12-236827","January 2013","June 2015","March 2016","April 2017","October 24, 2012","October 26, 2012","null","null","April 13, 2017","April 14, 2017","Queen's University, Kingston, Ontario, Canada","https://ClinicalTrials.gov/show/NCT01715181"
1404,"NCT00095719","Intramuscular Aripiprazole in Acutely Agitated Patients Diagnosed With Dementia","null","Completed","No Results Available","Dementia|Alzheimer's Disease","Drug: Aripiprazole|Drug: Placebo","tolerability|safety assessments","Otsuka Pharmaceutical Development & Commercialization, Inc.|Otsuka America Pharmaceutical","All","55 Years to 95 Years   (Adult, Senior)","Phase 3","125","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","CN138-131","December 2003","March 2005","March 2005","August 2008","November 9, 2004","November 9, 2004","null","null","November 7, 2013","November 11, 2013","Local Institution, Santa Ana, California, United States|Local Institution, Hamden, Connecticut, United States|Local Institution, Hialeah, Florida, United States|Local Institution, Miami, Florida, United States|Local Institution, North Miami, Florida, United States|Local Institution, Indianapolis, Indiana, United States|Local Institution, New York, New York, United States|Local Institution, Staten Island, New York, United States|Local Institution, Dayton, Ohio, United States|Local Institution, Oklahoma City, Oklahoma, United States|Local Institution, Tulsa, Oklahoma, United States|Local Institution, Hershey, Pennsylvania, United States|Local Institution, Austin, Texas, United States|Local Institution, Midvale, Utah, United States","https://ClinicalTrials.gov/show/NCT00095719"
1405,"NCT00010803","Ginkgo Biloba Prevention Trial in Older Individuals","null","Completed","Has Results","Dementia|Alzheimer's Disease","Drug: Ginkgo biloba|Drug: Placebo","Number of Participants With Incident Dementia|Number of Participants With the Indicated Cardiovascular Disease or Mortality|Progression of Cognitive Decline in Standardized Z-score Scale. Higher Z-scores Indicate Worse Performance.","National Center for Complementary and Integrative Health (NCCIH)|Office of Dietary Supplements (ODS)|National Institute of Neurological Disorders and Stroke (NINDS)|National Institute on Aging (NIA)|National Heart, Lung, and Blood Institute (NHLBI)","All","75 Years and older   (Senior)","Phase 3","3069","NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","U01 AT000162-01M","October 2000","April 2008","July 2011","March 2013","February 2, 2001","February 5, 2001","March 27, 2009","September 16, 2010","March 11, 2013","March 14, 2013","University of California, Davis, Sacramento, California, United States|Johns Hopkins University, Baltimore, Maryland, United States|Wake Forest University School of Medicine, Winston-Salem, North Carolina, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|University of Pittsburgh/University of Virginia, Charlottesville, Virginia, United States","https://ClinicalTrials.gov/show/NCT00010803"
1406,"NCT02474251","Brain Sleep Clearance of Amyloid-Beta Peptides","Brain SCRAPs","Recruiting","No Results Available","Obstructive Sleep Apnea|Alzheimer's Disease","Device: Continuous positive airway pressure device","CSF Aβ42/Aβ40 levels","New York University School of Medicine","All","30 Years to 75 Years   (Adult, Senior)","","55","Other","Observational","Observational Model: Other|Time Perspective: Cross-Sectional","14-01837","September 2015","December 2017","September 2018","October 2017","June 15, 2015","June 17, 2015","null","null","October 5, 2017","October 6, 2017","Bellevue Hospital Center, New York, New York, United States|NYU Langone Medical Center, New York, New York, United States","https://ClinicalTrials.gov/show/NCT02474251"
1407,"NCT02353884","Multi-modality MRI Study on Prediction for Mild Cognitive Impairment Conversion","null","Completed","No Results Available","Mild Cognitive Impairment|Alzheimer's Disease","","the accuracy of a predictable classifier from MCI to AD based on Multi-Modality MRI characteristics of MCI patients.|characteristic changes of brain structure in progressive MCI|characteristic changes of anatomical connectivity in progressing MCI|characteristic changes of functional connectivity in progressing MCI","XuanwuH 2|Xuanwu Hospital, Beijing","All","55 Years to 75 Years   (Adult, Senior)","","150","Other","Observational","Observational Model: Case Control|Time Perspective: Prospective","hanying3","January 2010","December 2011","December 2012","January 2015","October 4, 2014","February 3, 2015","null","null","January 28, 2015","February 3, 2015","Department of Neurolgy,Xuanwu Hospital of Capital Medical University, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT02353884"
1408,"NCT02353845","Construction of Diagnosis System for Early AD Based on Multi-Modality MRI Technology","null","Completed","No Results Available","Mild Cognitive Impairment|Alzheimer's Disease","","number of participants correctly classified by the support vector machine (SVM) classifier for the aMCI diagnosis|number of participants correctly predicted by the SVM classifier for predicting conversion from aMCI to AD|regional cerebral metabolism (CMgl) measured by FDG-PET|changed regional cerebral blood flow measured by FDG-PET","XuanwuH 2|Xuanwu Hospital, Beijing","All","Child, Adult, Senior","","297","Other","Observational","Observational Model: Case Control|Time Perspective: Prospective","hanying2","November 2013","October 2015","August 2016","August 2016","October 2, 2014","February 3, 2015","null","null","August 21, 2016","August 23, 2016","Department of Neurolgy,Xuanwu Hospital of Capital Medical University, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT02353845"
